sheet,Sig
ML1 I and E math,1
ML1 allowed forbidden,1
ML1 anchor NYC,1
ML1 anchor babies,1
ML1 anchor chicago,1
ML1 anchor everest,1
ML1 category scales,1
ML1 currency prime,0
ML1 flag prime,0
ML1 gain loss,1
ML1 gamblers,1
ML1 imagine contact,1
ML1 quotes,1
ML1 reciprocity,1
ML1 sex diff math,1
ML1 sunk costs,1
ML2 1 Huang,1
ML2 12 Anderson,0
ML2 13 Ross,1
ML2 14 Ross2,1
ML2 15 Giessner,0
ML2 18 Risen,1
ML2 2 Kay,0
ML2 20 Norenzayan,1
ML2 21 Hsee,1
ML2 22 Gray,1
ML2 23 Zhong,0
ML2 26 Zaval,0
ML2 27 Knobe,1
ML2 28 Tversky2,0
ML2 3 Alter,0
ML2 6 Bauer,1
ML2 9 Critcher,0
ML3 avail heuristics,1
ML3 cred prej int,0
ML3 cred prej main,1
ML3 elaboration int,0
ML3 elaboration main,1
ML3 metaphor,1
ML3 persistence,0
ML3 power persp,0
ML3 self esteem int,0
ML3 self esteem main,1
ML3 stroop,1
ML3 warmth,0
ML3 weight,0
RRR3 gram crim,0
RRR3 gram intent,0
RRR3 gram process,0
RRR4 deplete RT,0
RRR4 deplete variable,0
RRR5 commit exit,0
RRR5 commit loyalty,0
RRR5 commit neglect,0
RRR5 commit subjective,0
RRR5 commit voice,0
RRR6 facial feedback,0
