id,include_in_analysis,exclusion_crit,is_RR,support,support_binary,is_replication,,hypothesis_quote,result_quote,hyp_from_fulltext,result_from_fulltext,N,doi,title,authors,year,journal,abstract,keywords,coding_round,combining_coding_notes,uses_AS_coding,coded_by_MS,support_orig_MS,support_revised_MS,evaluation_certainty_MS,hypothesis_MS,hypothesis_introduction_MS,finding_MS,conclusion_MS,hypothesis_from_fulltext_MS,result_from_fulltext_MS,fulltext_available_MS,is_replication_old_MS,is_original_old_MS,time_spent_MS,individual_coding_notes_MS,coded_by_AS,support_orig_AS,support_revised_AS,evaluation_certainty_AS,hypothesis_AS,hypothesis_introduction_AS,finding_AS,conclusion_AS,hypothesis_from_fulltext_AS,result_from_fulltext_AS,fulltext_available_AS,is_replication_old_AS,is_original_old_AS,time_spent_AS,individual_coding_notes_AS,is_replication_new_combining_notes,is_replication_new_coded_by_AS,is_replication_new_AS,replic_notes_AS,is_replication_new_coded_by_DL,is_replication_new_DL,replic_notes_DL,is_replication_special_issue,hypothesis_intro_contains_replic
5,1,,1,support,1,0,,"""This study tested whether EI (conceptualized as a performance-based ability) predicted economic and relational outcomes in an employee-recruiter negotiation above general mental ability (GMA)""","""Results showed that GMA was unrelated to negotiation outcomes.""",0,0,130,10.1016/j.jrp.2017.12.003,Sense and sensibility: The role of cognitive and emotional intelligence in negotiation,"Schlegel, Katja; Mehu, Marc; van Peer, Jacobien M.; Scherer, Klaus R.",2018,Journal of Research in Personality,"© 2018 Elsevier Inc. This study tested whether EI (conceptualized as a performance-based ability) predicted economic and relational outcomes in an employee-recruiter negotiation above general mental ability (GMA) and whether a novel measure of emotion recognition ability (ERA; a central component of EI) predicted these outcomes better than an established broad ability EI test. Results showed that GMA was unrelated to negotiation outcomes. Higher scores on the ERA test and the emotional understanding subtest of the broad EI measure were associated with higher dyadic gains and higher individual gains for participants’ counterparts. Negotiators with high ERA were also perceived as more cooperative and likable and showed higher self-ratings of cooperativeness. Overall, the ERA test predicted outcomes more consistently than the broad ability EI test.","Emotion recognition ability, Emotional intelligence, General mental ability, Negotiation, Social interaction",1,,0,1,support,support,2,"""This study tested whether EI (conceptualized as a performance-based ability) predicted economic and relational outcomes in an employee-recruiter negotiation above general mental ability (GMA)""",this study tested whether,,"""Results showed that GMA was unrelated to negotiation outcomes.""",0,0,1,0,1,0:08:00,Had to check the main text to better understand the abstract,1,support,support,,This study tested whether EI (conceptualized as a performance-based ability) predicted economic and relational outcomes in an employee-recruiter negotiation above general mental ability (GMA),This study tested whether,,"We therefore concluded that in the present study, ability EI emerged as a more consistent predictor of negotiation outcomes than GMA.",0,1,1,0,1,,,,1,0,,0,,,0,0
10,1,,1,support,1,0,,"""We expected that, relative to attachment, glorification would reduce perceived entitlement to seek asylum, heighten realistic threat, and attributions of blaming asylum seekers for their situation. Realistic threat and entitlement would predict blame that, in turn, would negatively predict sympathy and guilt, and would positively predict schadenfreude (S-BC; see Figure 1).""","""Consistent with our hypothesized model, relative to attach-ment, in the Australian sample, glorification decreased appraisals of entitlement to seek asylum and increased appraisals of realistic threat imposed by asylum seekers.""",1,1,213,10.1080/23743603.2017.1360573,"Glorifying national identification increases schadenfreude about asylum seekers when they are a threat, not entitled to seek asylum, and blamed for their adversity","Berndsen, Mariëtte; Thomas, Emma F.; McGarty, Craig; Bliuc, Ana-Maria; Hendres, Daniela Muntele",2017,Comprehensive Results in Social Psychology,"© 2017, © 2017 European Association of Social Psychology. The purpose of the current research is to explore how mode of identification (glorification versus attachment) results in either schadenfreude “with a bad conscience” (S-BC) about disadvantaged people, or prosocial emotional responses (sympathy and guilt) towards them through appraisals of entitlement, realistic threat, and blame. These relationships were investigated amongst Australians (N = 213) and Romanians (N = 210) in relation to the treatment of asylum seekers in detention centres in those two countries. Consistent with hypotheses, Australian glorifying identifiers considered asylum seekers to be a threat to well-being and to not be entitled to seek asylum. Asylum seekers were therefore blamed for their situation in detention centres and this enhanced group-based S-BC. Very different findings were observed for attached identifiers who expressed group-based sympathy and guilt towards asylum seekers. Similar pathways were observed in the Romanian sample except for the role of entitlement. Moreover, S-BC and related constructs were relatively strong in the Australian sample. The findings are important because they point to the foundations of group-based S-BC. Findings are discussed in relation to the current scale of the global refugee crisis.","asylum seekers, blame, cross-cultural, national identification, Schadenfreude, threat",0,"From RR pilot; [is replication, is original work and from full text] variables updated on 13-01-19; changed coding of [is replication] to AS coding",1,1,support,support,,"""The purpose of the current research is to explore how mode of identification (glorification versus attachment) results in either schadenfreude “with a bad conscience” (S-BC) about disadvantaged people, or prosocial emotional responses (sympathy and guilt) towards them through appraisals of entitlement, realistic threat, and blame. "" - Not specific enough for a clear hypothesis in my opinion",,,"""Consistent with hypotheses, Australian glorifying identifiers considered asylum seekers to be a threat to well-being and to not be entitled to seek asylum.""",0,0,0,0,1,0:05:08,"The link is the fully updated version of this paper. Full text is not available. The abstract does not state the hypotheses, but does state results regarding the hypotheses. From this it is possible to determine the implied first hypothesis, but there is no way to be sure.",1,support,support,,"We expected that, relative to attachment, glorification would reduce perceived entitlement to seek asylum, heighten realistic threat, and attributions of blaming asylum seekers for their situation. Realistic threat and entitlement would predict blame that, in turn, would negatively predict sympathy and guilt, and would positively predict schadenfreude (S-BC; see Figure 1).",We expected,,"Consistent with our hypothesized model, relative to attach-ment, in the Australian sample, glorification decreased appraisals of entitlement to seek asylum and increased appraisals of realistic threat imposed by asylum seekers.",1,1,0,1,1,0:11:30,Hypothesis not in abstract,,1,0,"The paper contains an internal replication/extension on a new population, but Study 1 is novel",0,,,0,0
15,1,,1,support,1,0,,"""We proposed one experiment testing the effect of language complexity on people’s evaluation of a policy proposal as moderated by their initial policy beliefs. We hypothesized that when a policy was consistent with one’s beliefs or if participants had no policy preference, they would evaluate it more favorably when it was simple than when it was complex; when a policy was inconsistent with one’s beliefs, they would evaluate it less unfavorably when it was complex than when it was simple.""","""Results confirmed our hypotheses.""",0,0,321,10.1080/23743603.2017.1404427,"Language complexity, belief-consistency, and the evaluation of policies","Goldberg, Matthew H.; Carmichael, Cheryl L.",2017,Comprehensive Results in Social Psychology,"© 2017, © 2017 European Association of Social Psychology.Policy proposals often contain complex legal, technical, or scientific jargon, making it difficult for people to evaluate their favorability toward the policy. We proposed one experiment testing the effect of language complexity on people’s evaluation of a policy proposal as moderated by their initial policy beliefs. We hypothesized that when a policy was consistent with one’s beliefs or if participants had no policy preference, they would evaluate it more favorably when it was simple than when it was complex; when a policy was inconsistent with one’s beliefs, they would evaluate it less unfavorably when it was complex than when it was simple. Results confirmed our hypotheses. This demonstrates that complex information does not always make people judge policies more negatively but rather cause people to weigh complex information less heavily in their judgments.","attitudes, language complexity, policy attitudes, Processing fluency",1,,0,1,support,support,4,"""We proposed one experiment testing the effect of language complexity on people’s evaluation of a policy proposal as moderated by their initial policy beliefs. We hypothesized that when a policy was consistent with one’s beliefs or if participants had no policy preference, they would evaluate it more favorably when it was simple than when it was complex; when a policy was inconsistent with one’s beliefs, they would evaluate it less unfavorably when it was complex than when it was simple.""",we hypothesized,,"""Results confirmed our hypotheses.""",0,0,0,0,1,0:05:00,The details one hypothesis that covers different cases. The abstract also states that all hypotheses were confirmed. This was interpreted as the first hypothesis being supported.,0,,,,,,,,,,,,,,,,1,0,,1,0,,0,0
16,1,,1,support,1,0,,"In both studies, we randomly assigned one group of participants to select an experience that provided happiness, and we assigned another group to select an experience that provided meaning. If happiness and meaning are derived from distinct experiences, then participants should report different thoughts, feelings, and behaviors in these two conditions (Hypothesis 1).","The analyses from the happiness correlates and the meaning correlates show clear evidence that happiness and meaning differ when they are isolated (|d|s>1, ps < .001; see Table 4), as predicted by both Hypothesis 1 and Hypothesis 2.",1,1,273,10.1080/23743603.2017.1376580,Cousins or conjoined twins: how different are meaning and happiness in everyday life?,"Dwyer, Ryan J.; Dunn, Elizabeth W.; Hershfield, Hal E.",2017,Comprehensive Results in Social Psychology,"© 2017, © 2017 European Association of Social Psychology. Are experiences that bring meaning different from experiences that bring happiness? If so, do people seek out different experiences in pursuing meaning versus happiness? In an adversarial collaboration, we conducted three preregistered experiments (total N = 879) to address these questions. We asked participants to describe an experience from the past month (Study 1) or past day (Study 2) that had provided them with either happiness, meaning, happiness without meaning, or meaning without happiness. Experiences that were happy but not meaningful differed substantially from those that were meaningful but not happy. However, experiences that provided happiness showed only small differences from those that provided meaning. In Study 3, to examine whether people seek out different experiences in pursuing happiness versus meaning, we instructed participants to choose an activity over the weekend that would provide them with happiness, meaning, happiness without meaning, or meaning without happiness. Again, experiences differed substantially when people pursued happiness without meaning or meaning without happiness, but these differences disappeared when people were simply told to pursue happiness or meaning. Our findings suggest that happiness and meaning are linked to distinct sets of thoughts, feelings and behaviors, but the differences between them are small in everyday life.","eudaimonia, Happiness, hedonia, meaning, subjective well-being",1,,1,1,missing,,5,,,,,0,0,0,0,1,0:07:00,"The paper does not state its hypothesis, only a research question. There is a discussion of the results, but from that discussion I was not able to discover the actual tested hypothesis. Full text is not available, the abstract by itself is not sufficient to code the paper.",1,support,support,,"In both studies, we randomly assigned one group of participants to select an experience that provided happiness, and we assigned another group to select an experience that provided meaning. If happiness and meaning are derived from distinct experiences, then participants should report different thoughts, feelings, and behaviors in these two conditions (Hypothesis 1).",If … then … (Hypothesis 1).,"The analyses from the happiness correlates and the meaning correlates show clear evidence that happiness and meaning differ when they are isolated (|d|s>1, ps < .001; see Table 4), as predicted by both Hypothesis 1 and Hypothesis 2.",,1,1,1,0,1,0:09:00,,,1,0,,1,0,,0,0
26,1,,1,support,1,0,,"""In a preregistered, high-powered AMP study, we therefore examined whether the standard AMP does reveal prejudice against Turks, the biggest minority in Germany""",""" In a preregistered, high-powered AMP study, we therefore examined whether the standard AMP does reveal prejudice against Turks, the biggest minority in Germany, and found a significant, albeit very small prejudice effect""",0,0,27,10.1027/1618-3169/a000364,The Affect Misattribution Procedure: In Search of Prejudice Effects,"Teige-Mocigemba, Sarah; Becker, Manuel; Sherman, Jeffrey W.; Reichardt, Regina; Christoph Klauer, Karl",2017,Experimental Psychology,"© 2017 Hogrefe Publishing.The Affect Misattribution Procedure (AMP) has been forwarded as one of the most promising alternatives to the Implicit Association Test and the evaluative-priming task for measuring attitudes such as prejudice indirectly. We investigated whether the AMP is indeed able to detect an evaluative out-group bias. In contrast to recent conclusions about the robustness of AMP effects, six out of seven pilot studies indicated that participants did not show any prejudice effects in the AMP. Yet, these pilot studies were not fully conclusive with regard to our research question because they investigated different domains of prejudice, used small sample sizes, and employed a modified AMP version. In a preregistered, high-powered AMP study, we therefore examined whether the standard AMP does reveal prejudice against Turks, the biggest minority in Germany, and found a significant, albeit very small prejudice effect. We discuss possible reasons for the AMP's weak sensitivity to evaluations in socially sensitive domains.","Affect misattribution procedure, Implicit measures, Prejudice effects",1,,0,1,support,support,3,"""In a preregistered, high-powered AMP study, we therefore examined whether the standard AMP does reveal prejudice against Turks, the biggest minority in Germany""",we ... examined whether,""" In a preregistered, high-powered AMP study, we therefore examined whether the standard AMP does reveal prejudice against Turks, the biggest minority in Germany, and found a significant, albeit very small prejudice effect""",,0,0,0,0,1,0:05:00,Stated hypothesis is not very concrete. Based on the wording of what has been coded as the hypothesis I have to assume that the hypothesis entails that there will be a prejudice effect.,0,,,,,,,,,,,,,,,,1,0,,0,,,0,0
45,1,,1,support,1,0,,""" We registered three hypotheses with specific predictions. First, adults would extract regular patterns from continuous stream (effect of grammaticality)."" [from abstract] AND ""2.3.1. Do participants show a grammaticality effect in the learning task? Hypothesis: A grammaticality effect is anticipated with larger effects in grammatical conditions compared to the ungrammatical condition. The main effects of grammaticality conditions are fixed effects and can be extracted from the linear mixed effects model output. These can be interpreted as the average difference in RT between the baseline condition (i.e. random) and each grammaticality condition. If the corresponding confidence intervals do not include zero and are suitably narrow, this would confirm our hypothesis."" [from full text]","""Our results confirmed there is a grammaticality effect, i.e. individuals are capable of incidentally
  extracting regularities from an audiovisual stream when the stream includes statistical structures of
  different complexities. The effect has been well documented using offline (e.g. [14,39]) as well as online
  approaches [13,26,32]. The effect was proposed as a minimal requirement to show that our task is able to
  detect individuals’ sensitivity to regular compared to irregular properties in the input""",1,1,42,10.1098/rsos.171678,Online incidental statistical learning of audiovisual word sequences in adults: a registered report,"Kuppuraj, Sengottuvel; Duta, Mihaela; Thompson, Paul; Bishop, Dorothy",2018,Royal Society Open Science,"© 2018 The Authors.Statistical learning has been proposed as a key mechanism in language learning. Our main goal was to examine whether adults are capable of simultaneously extracting statistical dependencies in a task where stimuli include a range of structures amenable to statistical learning within a single paradigm. We devised an online statistical learning task using real word auditory–picture sequences that vary in two dimensions: (i) predictability and (ii) adjacency of dependent elements. This task was followed by an offline recall task to probe learning of each sequence type. We registered three hypotheses with specific predictions. First, adults would extract regular patterns from continuous stream (effect of grammaticality). Second, within grammatical conditions, they would show differential speeding up for each condition as a factor of statistical complexity of the condition and exposure. Third, our novel approach to measure online statistical learning would be reliable in showing individual differences in statistical learning ability. Further, we explored the relation between statistical learning and a measure of verbal short-term memory (STM). Forty-two participants were tested and retested after an interval of at least 3 days on our novel statistical learning task. We analysed the reaction time data using a novel regression discontinuity approach. Consistent with prediction, participants showed a grammaticality effect, agreeing with the predicted order of difficulty for learning different statistical structures. Furthermore, a learning index from the task showed acceptable test–retest reliability (r = 0.67). However, STM did not correlate with statistical learning. We discuss the findings noting the benefits of online measures in tracking the learning process.","Incidental learning, Non-adjacent dependencies, Online learning, Probabilistic dependencies, Statistical learning, Verbal working memory",1,"18-01-2019 - clarified [hypothesis_introduction_ms]; 12-11-2019 removed one of two phrases from [hypothesis_intro] because it did not occur in [hypothesis_quote]; 29-11-2019 - changed [hypothesis_from_fulltext_MS] and [hypothesis_from_fulltext] from 0 to 1 because [hypothesis_MS] contains a quote from the abstract AND one from the full text, and the one from the full text provides crucial detail.",0,1,support,support,4,""" We registered three hypotheses with specific predictions. First, adults would extract regular patterns from continuous stream (effect of grammaticality)."" [from abstract] AND ""2.3.1. Do participants show a grammaticality effect in the learning task? Hypothesis: A grammaticality effect is anticipated with larger effects in grammatical conditions compared to the ungrammatical condition. The main effects of grammaticality conditions are fixed effects and can be extracted from the linear mixed effects model output. These can be interpreted as the average difference in RT between the baseline condition (i.e. random) and each grammaticality condition. If the corresponding confidence intervals do not include zero and are suitably narrow, this would confirm our hypothesis."" [from full text]",our goal was to examine AND we registered … hypotheses [both from abstract],,"""Our results confirmed there is a grammaticality effect, i.e. individuals are capable of incidentally
  extracting regularities from an audiovisual stream when the stream includes statistical structures of
  different complexities. The effect has been well documented using offline (e.g. [14,39]) as well as online
  approaches [13,26,32]. The effect was proposed as a minimal requirement to show that our task is able to
  detect individuals’ sensitivity to regular compared to irregular properties in the input""",1,1,1,0,1,0:09:00,"The hypothesis given in the abstract is clear enough, for good measure the wording of the hypothesis presented in the full text is also given. Since the hypothesis from the abstract is sufficient this paper was coded as 0 for [hypothesis from full text].",0,,,,,,,,,,,,,,,,1,0,,1,0,,0,0
71,1,,1,support,1,0,,"""Here we test the hypothesis that, in contrast
 to the modal offer in the unframed ultimatum game (UG) (e.g. 60% to the proposer and 40% to the responder), offers in a UG explicitly framed either as a currency exchange or a windfall will closely conform to expectations for the frame and diverge
 substantially from the modal offer. "" [general] AND ""We predicted (i) that modal offers in the currency exchange would involve an asymmetric split where greater than 80% went to customers and less than 20% went to banker"" [first tested hypothesis]","""Our first prediction was confirmed with substantial effect sizes (d = 1.09 and d = −2.04),""",0,0,70,10.1098/rsos.170543,Radical framing effects in the ultimatum game: the impact of explicit culturally transmitted frames on economic decision-making,"Lightner, Aaron D.; Barclay, Pat; Hagen, Edward H.",2017,Royal Society Open Science,"© 2017 The Authors.Many studies have documented framing effects in economic games. These studies, however, have tended to use minimal framing cues (E.G. A single sentence labelling the frame), and the frames did not involve unambiguous offer expectations. Results often did not differ substantially from those in the unframed games. Here we test the hypothesis that, in contrast to the modal offer in the unframed ultimatum game (UG) (e.g. 60% to the proposer and 40% to the responder), offers in a UG explicitly framed either as a currency exchange or a windfall will closely conform to expectations for the frame and diverge substantially from the modal offer. Participants recruited from MTurk were randomized into one of two conditions. In the control condition, participants played a standard UG. In the treatment conditions, players were provided a vignette explicitly describing the frame with their roles: some were customers and bankers in a currency exchange, and others were in a windfall scenario. We predicted (i) that modal offers in the currency exchange would involve an asymmetric split where greater than 80% went to customers and less than 20% went to bankers, and (ii) that variation in windfall offers would converge onto a 50–50 split with significantly less variation than the control condition. Our first prediction was confirmed with substantial effect sizes (d=1.09 and d=−2.04), whereas we found no evidence for our second prediction. The first result provides further evidence that it is difficult to draw firm conclusions about economic decision-making from decontextualized games.","Behavioural economics, Cultural evolution, Evolutionary psychology, Ultimatum game",1,25-01-2019 - clarified [hypothesis_introduction_ms],0,1,support,support,4,"""Here we test the hypothesis that, in contrast
 to the modal offer in the unframed ultimatum game (UG) (e.g. 60% to the proposer and 40% to the responder), offers in a UG explicitly framed either as a currency exchange or a windfall will closely conform to expectations for the frame and diverge
 substantially from the modal offer. "" [general] AND ""We predicted (i) that modal offers in the currency exchange would involve an asymmetric split where greater than 80% went to customers and less than 20% went to banker"" [first tested hypothesis]",we test the hypothesis that [from abstract] AND we predicted that [from full text],,"""Our first prediction was
  confirmed with substantial effect sizes (d = 1.09 and d = −2.04),""",0,0,1,0,1,0:05:00,"The paper tested two predictions based on their general hypothesis (only the first hypothesis is coded here, consistent with the preregistered coding methodlogy). The first prediction was supported, but the second prediction was not supported, meaning that this paper would be coded differently if our coding methodology focussed on all tested hypotheses instead of the first.",0,,,,,,,,,,,,,,,,1,0,,1,0,,0,0
74,1,,1,support,1,0,,"""A pre-registered experiment was conducted to examine psychophysiological responses to being lied to. Bridging research on social cognition and deception detection, we hypothesized that observing a liar compared to a truth-teller would decrease finger skin temperature of observers."" [from abstract] AND ""Our main hypothesis was that finger skin temperature would decrease during the watching of a 3-min video clip of a liar (H1). "" [from full text]","""Findings pertaining to temperature partly confirmed our main hypothesis."" [from abstract] AND ""From the marginally significant three-way interaction, we can tentatively conclude that our prediction that finger skin temperature would decrease while participants watch a liar (H1) is supported by the data. However ..."" [from full text]",1,1,155,10.3389/fpsyg.2015.00672,Unconscious deception detection measured by finger skin temperature and indirect veracity judgments—results of a registered report,"van 't Veer, Anna E.; Gallucci, Marcello; Stel, Mariëlle; Beest, Ilja van",2015,Frontiers in Psychology,"© 2015 van 't Veer, Gallucci, Stel and van Beest.A pre-registered experiment was conducted to examine psychophysiological responses to being lied to. Bridging research on social cognition and deception detection, we hypothesized that observing a liar compared to a truth-teller would decrease finger skin temperature of observers. Participants first watched two targets while not forewarned that they would later be asked to judge (direct and indirect) veracity, and then watched another two targets while forewarned about this. During both these phases finger skin temperature was measured. Findings pertaining to temperature partly confirmed our main hypothesis. When participants were observing a liar, irrespective of being forewarned, on average finger skin temperature declined over time. In the forewarned phase, temperature trajectories of truth-tellers were higher than those of liars, however, in the not forewarned phase, this pattern was reversed. Results confirmed our further hypotheses that participants judge liars as less likeable and less trustworthy than truth-tellers-an indication of indirect deception detection. Our hypothesis that the effect size for trustworthiness would be bigger than that of liking was not supported by the data. Additionally, and also confirming our hypothesis, participants performed around chance level when directly judging whether the target person was lying. Exploratory analyses are reported with regard to truth bias and dependency between direct and indirect veracity judgments. Limitations and directions for future work related to the existence of psychophysiological indicators of deception detection are discussed.","Deception detection, Indirect deception detection, Interpersonal relations, Physiological markers, Psychophysiology, Skin temperature",1,25-01-2019 - clarified [hypothesis_introduction_ms],0,1,support,support,5,"""A pre-registered experiment was conducted to examine psychophysiological responses to being lied to. Bridging research on social cognition and deception detection, we hypothesized that observing a liar compared to a truth-teller would decrease finger skin temperature of observers."" AND ""Our main hypothesis was that finger skin temperature would decrease during the watching of a 3-min video clip of a liar (H1). """,to examine [occurs both in abstract and full text] AND we hypothesized [from abstract],"""Findings pertaining to temperature partly confirmed our main hypothesis."" AND ""From the marginally significant three-way interaction, we can tentatively conclude that our prediction that finger skin temperature would decrease while participants watch a liar (H1) is supported by the data. However ...""",,1,1,1,0,1,0:08:00,,0,,,,,,,,,,,,,,,,1,0,,0,,,0,0
78,1,,1,support,1,0,,"""We hypothesized that greater childhood nurturance would predict more adaptive functioning at work (as indexed by earned income) and more satisfying relationships with spouses and children in midlife, and that these links would be mediated by reliance on more adaptive defenses earlier in adulthood.""","""Our findings are also consistent with the hypothesis that greater reliance on adaptive defenses represents a mechanism by which early childhood nurturance impacts major domains of functioning in midlife: positive relationships with one’s children, strong marital relationships, and earned income.""",1,1,135,10.1016/j.jrp.2018.01.002,Thriving in midlife: The roles of childhood nurturance and adult defense mechanisms,"Nevarez, Michael D.; Morrill, Melinda I.; Waldinger, Robert J.",2018,Journal of Research in Personality,"© 2018 Elsevier Inc.The current study examined whether reliance on more adaptive defense mechanisms throughout early adulthood may help explain previously documented relationships between childhood nurturance and better midlife functioning. Utilizing a unique longitudinal study, data were from age 18 through midlife (age 63) on 135 males. Childhood nurturance was assessed upon study entry and defense mechanism usage was assessed throughout earlier adulthood. Percentage of ‘engaging’ (more adaptive) vs. ‘avoidant’ (less adaptive) defenses mediated the relationship between childhood nurturance and 3 midlife outcomes: participants’ relationship quality with their children, marriage stability, and maximum earned income. Results suggest that greater childhood nurturance relates to more adaptive defensive styles in early adulthood, which is then associated with healthier midlife functioning at work and in relationships.",,1,,0,1,support,support,4,"""We hypothesized that greater childhood nurturance would predict more adaptive functioning at work (as indexed by earned income) and more satisfying relationships with spouses and children in midlife, and that these links would be mediated by reliance on more adaptive defenses earlier in adulthood.""",we hypothesized,,"""Our findings are also consistent with the hypothesis that greater reliance on adaptive defenses represents a mechanism by which early childhood nurturance impacts major domains of functioning in midlife: positive relationships with one’s children, strong marital relationships, and earned income.""",1,1,1,0,1,0:06:00,,0,,,,,,,,,,,,,,,,1,0,,1,0,,0,0
23,1,,1,partial support,1,0,,"""1.2.1. Hypothesis 1: Neuroticism and body vigilance are related
 The relationship between body vigilance, neuroticism and health may take several forms. First, we expect neuroticism and body vigilance to be related, especially given the relationship between body vigilance and trait anxiety (Christensen et al., 1996). We hypothesize that this relationship will be significant and will have a modest effect size ().""","""3.2. To what extent are neuroticism and body vigilance related?
 Neuroticism was significantly and positively associated with sensation awareness belief ( 95% CI = [0.31, 0.43]), even after controlling for age and gender ( [0.22, 0.35]). Neuroticism was not significantly associated with change awareness belief [0.00, 0.13]), even after controlling for age and gender ( [−0.07, 0.07]).""",1,1,1055,10.1016/j.jrp.2017.10.005,The role of vigilance in the relationship between neuroticism and health: A registered report,"Weston, Sara J.; Jackson, Joshua J.",2018,Journal of Research in Personality,"© 2017 Elsevier Inc.The theory of healthy neuroticism, that neuroticism can impact health through both negative and positive pathways, often relies on descriptions of vigilance to illustrate beneficial effects. The current study is among the first to describe the relationship of neuroticism to body vigilance and test the degree to which this relationship impacts health. In an online participant panel (N = 1055), neuroticism was associated with one factor of vigilance: sensation awareness belief. This factor had a suppression effect on the relationship between neuroticism and healthy behavior, such that the effect of neuroticism through vigilance was healthy, whereas the direct effect was unhealthy. We discuss the implications of these findings and caution against using vigilance to explain the heterogeneity in neuroticism-health relationships.","Cross-sectional, Health, Health behaviors, Neuroticism, Preregistered, Self-rated health, Vigilance",1,25-01-2019 - clarified [hypothesis_introduction_ms],0,1,partial support,partial support,4,"""1.2.1. Hypothesis 1: Neuroticism and body vigilance are related
 The relationship between body vigilance, neuroticism and health may take several forms. First, we expect neuroticism and body vigilance to be related, especially given the relationship between body vigilance and trait anxiety (Christensen et al., 1996). We hypothesize that this relationship will be significant and will have a modest effect size ().""",we expect AND we hypothesize [both from full text],"""3.2. To what extent are neuroticism and body vigilance related?
 Neuroticism was significantly and positively associated with sensation awareness belief ( 95% CI = [0.31, 0.43]), even after controlling for age and gender ( [0.22, 0.35]). Neuroticism was not significantly associated with change awareness belief [0.00, 0.13]), even after controlling for age and gender ( [−0.07, 0.07]).""",,1,1,1,0,1,0:09:00,,0,,,,,,,,,,,,,,,,1,0,,0,,,0,0
